TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
Erdmuht	B-PER	_	_	_	_	_	_	_	_
ist	O	_	_	_	_	_	_	_	_

mein	O	_	_	_	_	_	_	_	_
letzteres	O	_	_	_	_	_	_	_	_
,	O	_	_	_	_	_	_	_	_
durch	O	_	_	_	_	_	_	_	_
dero	O	_	_	_	_	_	_	_	_
abgeschikten	O	_	_	_	_	_	_	_	_
botten	O	_	_	_	_	_	_	_	_
nach	O	_	_	_	_	_	_	_	_
schletz	B-LOC	_	_	_	_	_	_	_	_
und	O	_	_	_	_	_	_	_	_
eberstorf	B-LOC	_	_	_	_	_	_	_	_
,	O	_	_	_	_	_	_	_	_
worinen	O	_	_	_	_	_	_	_	_
ich	O	_	_	_	_	_	_	_	_
meine	O	_	_	_	_	_	_	_	_
gedancken	O	_	_	_	_	_	_	_	_
,	O	_	_	_	_	_	_	_	_
wegen	O	_	_	_	_	_	_	_	_
der	O	_	_	_	_	_	_	_	_
letzt	O	_	_	_	_	_	_	_	_
verübten	O	_	_	_	_	_	_	_	_
hirsch	O	_	_	_	_	_	_	_	_
berger	O	_	_	_	_	_	_	_	_
bosheit	O	_	_	_	_	_	_	_	_
berichtet	O	_	_	_	_	_	_	_	_
werd˷	O	_	_	_	_	_	_	_	_
Erl	O	_	_	_	_	_	_	_	_
wohl	O	_	_	_	_	_	_	_	_
bekommen	O	_	_	_	_	_	_	_	_
haben	O	_	_	_	_	_	_	_	_
,	O	_	_	_	_	_	_	_	_

weil	O	_	_	_	_	_	_	_	_
aber	O	_	_	_	_	_	_	_	_
unvermuhtet	O	_	_	_	_	_	_	_	_
Eber	B-PER	_	_	_	_	_	_	_	_
hard	I-PER	_	_	_	_	_	_	_	_
miller	I-PER	_	_	_	_	_	_	_	_
,	O	_	_	_	_	_	_	_	_
selbst	O	_	_	_	_	_	_	_	_
Zu	O	_	_	_	_	_	_	_	_
mir	O	_	_	_	_	_	_	_	_
kommen	O	_	_	_	_	_	_	_	_
,	O	_	_	_	_	_	_	_	_
und	O	_	_	_	_	_	_	_	_
sein	O	_	_	_	_	_	_	_	_
miß	O	_	_	_	_	_	_	_	_
fallen	O	_	_	_	_	_	_	_	_
,	O	_	_	_	_	_	_	_	_
über	O	_	_	_	_	_	_	_	_
verübte	O	_	_	_	_	_	_	_	_
böse	O	_	_	_	_	_	_	_	_
thaden	O	_	_	_	_	_	_	_	_
beZeiget	O	_	_	_	_	_	_	_	_
,	O	_	_	_	_	_	_	_	_
so	O	_	_	_	_	_	_	_	_
bekommt	O	_	_	_	_	_	_	_	_
die	O	_	_	_	_	_	_	_	_
sache	O	_	_	_	_	_	_	_	_
in	O	_	_	_	_	_	_	_	_
etwaß	O	_	_	_	_	_	_	_	_
ein	O	_	_	_	_	_	_	_	_
ander	O	_	_	_	_	_	_	_	_
an	O	_	_	_	_	_	_	_	_
sehen	O	_	_	_	_	_	_	_	_
,	O	_	_	_	_	_	_	_	_
da	O	_	_	_	_	_	_	_	_
mann	O	_	_	_	_	_	_	_	_
denn	O	_	_	_	_	_	_	_	_
gar	O	_	_	_	_	_	_	_	_
behut	O	_	_	_	_	_	_	_	_
samm	O	_	_	_	_	_	_	_	_
gehen	O	_	_	_	_	_	_	_	_
muß	O	_	_	_	_	_	_	_	_
,	O	_	_	_	_	_	_	_	_
der	O	_	_	_	_	_	_	_	_
sache	O	_	_	_	_	_	_	_	_
nicht	O	_	_	_	_	_	_	_	_
Zu	O	_	_	_	_	_	_	_	_
viel	O	_	_	_	_	_	_	_	_
oder	O	_	_	_	_	_	_	_	_
Zu	O	_	_	_	_	_	_	_	_
wenig	O	_	_	_	_	_	_	_	_
Zu	O	_	_	_	_	_	_	_	_
thun	O	_	_	_	_	_	_	_	_
weil	O	_	_	_	_	_	_	_	_
vieleicht	O	_	_	_	_	_	_	_	_
,	O	_	_	_	_	_	_	_	_
diser	O	_	_	_	_	_	_	_	_
exscess	O	_	_	_	_	_	_	_	_
woriber	O	_	_	_	_	_	_	_	_
ihnen	O	_	_	_	_	_	_	_	_
ietzt	O	_	_	_	_	_	_	_	_
so	O	_	_	_	_	_	_	_	_
bange	O	_	_	_	_	_	_	_	_
ist	O	_	_	_	_	_	_	_	_
könde	O	_	_	_	_	_	_	_	_
ein	O	_	_	_	_	_	_	_	_
unvermuhte	O	_	_	_	_	_	_	_	_
gelegen	O	_	_	_	_	_	_	_	_
heit	O	_	_	_	_	_	_	_	_
geben	O	_	_	_	_	_	_	_	_
,	O	_	_	_	_	_	_	_	_
daß	O	_	_	_	_	_	_	_	_
sie	O	_	_	_	_	_	_	_	_
neigung	O	_	_	_	_	_	_	_	_
Zur	O	_	_	_	_	_	_	_	_
gide	O	_	_	_	_	_	_	_	_
bekomme˷	O	_	_	_	_	_	_	_	_
könden	O	_	_	_	_	_	_	_	_
,	O	_	_	_	_	_	_	_	_
so	O	_	_	_	_	_	_	_	_
wird	O	_	_	_	_	_	_	_	_
nödich	O	_	_	_	_	_	_	_	_
sein	O	_	_	_	_	_	_	_	_
erenst	O	_	_	_	_	_	_	_	_
Zu	O	_	_	_	_	_	_	_	_
Zeigen	O	_	_	_	_	_	_	_	_
und	O	_	_	_	_	_	_	_	_
doch	O	_	_	_	_	_	_	_	_
auch	O	_	_	_	_	_	_	_	_
als	O	_	_	_	_	_	_	_	_
Ein	O	_	_	_	_	_	_	_	_
christ	O	_	_	_	_	_	_	_	_
alle	O	_	_	_	_	_	_	_	_
gelegen	O	_	_	_	_	_	_	_	_
heit	O	_	_	_	_	_	_	_	_
Zur	O	_	_	_	_	_	_	_	_
gütte	O	_	_	_	_	_	_	_	_
Zu	O	_	_	_	_	_	_	_	_
er	O	_	_	_	_	_	_	_	_
greiffen	O	_	_	_	_	_	_	_	_
,	O	_	_	_	_	_	_	_	_
da	O	_	_	_	_	_	_	_	_
hero	O	_	_	_	_	_	_	_	_
will	O	_	_	_	_	_	_	_	_
Erl	O	_	_	_	_	_	_	_	_
des	O	_	_	_	_	_	_	_	_
Eber	B-PER	_	_	_	_	_	_	_	_
hardes	I-PER	_	_	_	_	_	_	_	_
gantzen	O	_	_	_	_	_	_	_	_
antrag	O	_	_	_	_	_	_	_	_
,	O	_	_	_	_	_	_	_	_
in	O	_	_	_	_	_	_	_	_
allen	O	_	_	_	_	_	_	_	_
umb	O	_	_	_	_	_	_	_	_
stende˷	O	_	_	_	_	_	_	_	_
melten	O	_	_	_	_	_	_	_	_
,	O	_	_	_	_	_	_	_	_

er	O	_	_	_	_	_	_	_	_
schikte	O	_	_	_	_	_	_	_	_
aus	O	_	_	_	_	_	_	_	_
denn	O	_	_	_	_	_	_	_	_
wirtzhauße	O	_	_	_	_	_	_	_	_
eben	O	_	_	_	_	_	_	_	_
Zu	O	_	_	_	_	_	_	_	_
der	O	_	_	_	_	_	_	_	_
Zeit	O	_	_	_	_	_	_	_	_
da	O	_	_	_	_	_	_	_	_
Contesse	B-PER	_	_	_	_	_	_	_	_
Ernstine	I-PER	_	_	_	_	_	_	_	_
von	I-PER	_	_	_	_	_	_	_	_
holoh	I-PER	_	_	_	_	B-LOC	_	_	_
beÿ	O	_	_	_	_	_	_	_	_
mir	O	_	_	_	_	_	_	_	_
war	O	_	_	_	_	_	_	_	_
herein	O	_	_	_	_	_	_	_	_
,	O	_	_	_	_	_	_	_	_
wann	O	_	_	_	_	_	_	_	_
ich	O	_	_	_	_	_	_	_	_
es	O	_	_	_	_	_	_	_	_
gnädig	O	_	_	_	_	_	_	_	_
er	O	_	_	_	_	_	_	_	_
laubte	O	_	_	_	_	_	_	_	_
,	O	_	_	_	_	_	_	_	_
wolte	O	_	_	_	_	_	_	_	_
er	O	_	_	_	_	_	_	_	_
seine	O	_	_	_	_	_	_	_	_
under	O	_	_	_	_	_	_	_	_
thänige	O	_	_	_	_	_	_	_	_
auf	O	_	_	_	_	_	_	_	_
wardung	O	_	_	_	_	_	_	_	_
beÿ	O	_	_	_	_	_	_	_	_
mir	O	_	_	_	_	_	_	_	_
machen	O	_	_	_	_	_	_	_	_
,	O	_	_	_	_	_	_	_	_

disen	O	_	_	_	_	_	_	_	_
brif	O	_	_	_	_	_	_	_	_
bitte	O	_	_	_	_	_	_	_	_
,	O	_	_	_	_	_	_	_	_
mir	O	_	_	_	_	_	_	_	_
,	O	_	_	_	_	_	_	_	_
nur	O	_	_	_	_	_	_	_	_
auf	O	_	_	_	_	_	_	_	_
Eine	O	_	_	_	_	_	_	_	_
kurtze	O	_	_	_	_	_	_	_	_
Zeit	O	_	_	_	_	_	_	_	_
wider	O	_	_	_	_	_	_	_	_
auß	O	_	_	_	_	_	_	_	_
umm	O	_	_	_	_	_	_	_	_
denn	O	_	_	_	_	_	_	_	_
verlauf	O	_	_	_	_	_	_	_	_
mit	O	_	_	_	_	_	_	_	_
Eberharden	B-PER	_	_	_	_	_	_	_	_
mir	O	_	_	_	_	_	_	_	_
selbst	O	_	_	_	_	_	_	_	_
Zur	O	_	_	_	_	_	_	_	_
nach	O	_	_	_	_	_	_	_	_
richt	O	_	_	_	_	_	_	_	_
auf	O	_	_	_	_	_	_	_	_
Zu	O	_	_	_	_	_	_	_	_
schreiben	O	_	_	_	_	_	_	_	_
,	O	_	_	_	_	_	_	_	_
weil	O	_	_	_	_	_	_	_	_
ich	O	_	_	_	_	_	_	_	_
einander	O	_	_	_	_	_	_	_	_
mahl	O	_	_	_	_	_	_	_	_
waß	O	_	_	_	_	_	_	_	_
vergeßen	O	_	_	_	_	_	_	_	_
könde	O	_	_	_	_	_	_	_	_

aller	O	_	_	_	_	_	_	_	_
liebster	O	_	_	_	_	_	_	_	_
H	O	_	_	_	_	_	_	_	_
vetter	O	_	_	_	_	_	_	_	_
daß	O	_	_	_	_	_	_	_	_
ab	O	_	_	_	_	_	_	_	_
geschribene	O	_	_	_	_	_	_	_	_
kömmt	O	_	_	_	_	_	_	_	_
hir	O	_	_	_	_	_	_	_	_
beÿ	O	_	_	_	_	_	_	_	_
ist	O	_	_	_	_	_	_	_	_
waß	O	_	_	_	_	_	_	_	_
besonderes	O	_	_	_	_	_	_	_	_
die	O	_	_	_	_	_	_	_	_
libe	O	_	_	_	_	_	_	_	_
lorel	B-PER	_	_	_	_	_	_	_	_
griß	O	_	_	_	_	_	_	_	_
ich	O	_	_	_	_	_	_	_	_
1000	O	_	_	_	_	_	_	_	_
mahl	O	_	_	_	_	_	_	_	_
meine	O	_	_	_	_	_	_	_	_
kinder	O	_	_	_	_	_	_	_	_
empfehlen	O	_	_	_	_	_	_	_	_
sich	O	_	_	_	_	_	_	_	_

die	O	_	_	_	_	_	_	_	_
graffen	O	_	_	_	_	_	_	_	_
von	O	_	_	_	_	_	_	_	_
Witgen	B-LOC	_	_	_	_	_	_	_	_
stein	I-LOC	_	_	_	_	_	_	_	_
bitte	O	_	_	_	_	_	_	_	_
Zu	O	_	_	_	_	_	_	_	_
grißen	O	_	_	_	_	_	_	_	_

we˷	O	_	_	_	_	_	_	_	_
nur	O	_	_	_	_	_	_	_	_
Erldt	O	_	_	_	_	_	_	_	_
hir	O	_	_	_	_	_	_	_	_
her	O	_	_	_	_	_	_	_	_
gekommen	O	_	_	_	_	_	_	_	_
wören	O	_	_	_	_	_	_	_	_
,	O	_	_	_	_	_	_	_	_
so	O	_	_	_	_	_	_	_	_
hätte	O	_	_	_	_	_	_	_	_
es	O	_	_	_	_	_	_	_	_
balt	O	_	_	_	_	_	_	_	_
Zumm	O	_	_	_	_	_	_	_	_
ende	O	_	_	_	_	_	_	_	_
gebracht	O	_	_	_	_	_	_	_	_
könen	O	_	_	_	_	_	_	_	_
werden	O	_	_	_	_	_	_	_	_
,	O	_	_	_	_	_	_	_	_
sie	O	_	_	_	_	_	_	_	_
köne˷	O	_	_	_	_	_	_	_	_
die	O	_	_	_	_	_	_	_	_
leÿde	O	_	_	_	_	_	_	_	_
gud	O	_	_	_	_	_	_	_	_
über	O	_	_	_	_	_	_	_	_
Zeigen	O	_	_	_	_	_	_	_	_

Er	O	_	_	_	_	_	_	_	_
hatt	O	_	_	_	_	_	_	_	_
mercken	O	_	_	_	_	_	_	_	_
laßen	O	_	_	_	_	_	_	_	_
daß	O	_	_	_	_	_	_	_	_
er	O	_	_	_	_	_	_	_	_
ihmm	O	_	_	_	_	_	_	_	_
nicht	O	_	_	_	_	_	_	_	_
gerne	O	_	_	_	_	_	_	_	_
laße˷	O	_	_	_	_	_	_	_	_
wolte	O	_	_	_	_	_	_	_	_
,	O	_	_	_	_	_	_	_	_
doch	O	_	_	_	_	_	_	_	_
auch	O	_	_	_	_	_	_	_	_
nicht	O	_	_	_	_	_	_	_	_
nein	O	_	_	_	_	_	_	_	_
sagen	O	_	_	_	_	_	_	_	_
,	O	_	_	_	_	_	_	_	_
Bonin	B-PER	_	_	_	_	_	_	_	_
,	O	_	_	_	_	_	_	_	_
wolte	O	_	_	_	_	_	_	_	_
hernach	O	_	_	_	_	_	_	_	_
schon	O	_	_	_	_	_	_	_	_
iemand	O	_	_	_	_	_	_	_	_
gudes	O	_	_	_	_	_	_	_	_
vor	O	_	_	_	_	_	_	_	_
denn	O	_	_	_	_	_	_	_	_
ammtmann	O	_	_	_	_	_	_	_	_
wider	O	_	_	_	_	_	_	_	_
auß	O	_	_	_	_	_	_	_	_
machen	O	_	_	_	_	_	_	_	_
,	O	_	_	_	_	_	_	_	_

dencken	O	_	_	_	_	_	_	_	_
nur	O	_	_	_	_	_	_	_	_
Erldt	O	_	_	_	_	_	_	_	_
,	O	_	_	_	_	_	_	_	_
waß	O	_	_	_	_	_	_	_	_
iordann	B-PER	_	_	_	_	_	_	_	_
amm	O	_	_	_	_	_	_	_	_
hoffe	O	_	_	_	_	_	_	_	_
gu	O	_	_	_	_	_	_	_	_
des	O	_	_	_	_	_	_	_	_
beförderen	O	_	_	_	_	_	_	_	_
könde	O	_	_	_	_	_	_	_	_
,	O	_	_	_	_	_	_	_	_
er	O	_	_	_	_	_	_	_	_
hatt	O	_	_	_	_	_	_	_	_
gar	O	_	_	_	_	_	_	_	_
ein	O	_	_	_	_	_	_	_	_
gesetzt	O	_	_	_	_	_	_	_	_
weßen	O	_	_	_	_	_	_	_	_
immer	O	_	_	_	_	_	_	_	_
schade	O	_	_	_	_	_	_	_	_
wöre	O	_	_	_	_	_	_	_	_
es	O	_	_	_	_	_	_	_	_
vor	O	_	_	_	_	_	_	_	_
ihmm	O	_	_	_	_	_	_	_	_
wann	O	_	_	_	_	_	_	_	_
,	O	_	_	_	_	_	_	_	_
er	O	_	_	_	_	_	_	_	_
draußen	O	_	_	_	_	_	_	_	_
versaueren	O	_	_	_	_	_	_	_	_
solte	O	_	_	_	_	_	_	_	_
,	O	_	_	_	_	_	_	_	_

ich	O	_	_	_	_	_	_	_	_
fircht	O	_	_	_	_	_	_	_	_
aber	O	_	_	_	_	_	_	_	_
der	O	_	_	_	_	_	_	_	_
andere	O	_	_	_	_	_	_	_	_
H	O	_	_	_	_	_	_	_	_
der	O	_	_	_	_	_	_	_	_
so	O	_	_	_	_	_	_	_	_
gar	O	_	_	_	_	_	_	_	_
viel	O	_	_	_	_	_	_	_	_
appetit	O	_	_	_	_	_	_	_	_
nach	O	_	_	_	_	_	_	_	_
unßern	O	_	_	_	_	_	_	_	_
guden	O	_	_	_	_	_	_	_	_
leÿden	O	_	_	_	_	_	_	_	_
hatt	O	_	_	_	_	_	_	_	_
,	O	_	_	_	_	_	_	_	_
nimmt	O	_	_	_	_	_	_	_	_
ihmm	O	_	_	_	_	_	_	_	_
unß	O	_	_	_	_	_	_	_	_
wech	O	_	_	_	_	_	_	_	_
ich	O	_	_	_	_	_	_	_	_
muß	O	_	_	_	_	_	_	_	_
enden	O	_	_	_	_	_	_	_	_

die	O	_	_	_	_	_	_	_	_
lorel	B-PER	_	_	_	_	_	_	_	_
und	O	_	_	_	_	_	_	_	_
liben	O	_	_	_	_	_	_	_	_
kinder	O	_	_	_	_	_	_	_	_
kiße	O	_	_	_	_	_	_	_	_
ich	O	_	_	_	_	_	_	_	_
winsche	O	_	_	_	_	_	_	_	_
baltige	O	_	_	_	_	_	_	_	_
beßerung	O	_	_	_	_	_	_	_	_
,	O	_	_	_	_	_	_	_	_
vieleicht	O	_	_	_	_	_	_	_	_
laß	O	_	_	_	_	_	_	_	_
ich	O	_	_	_	_	_	_	_	_
hentzen	B-PER	_	_	_	_	_	_	_	_
umb	O	_	_	_	_	_	_	_	_
iohanne	B-PER	_	_	_	_	_	_	_	_
kommen	O	_	_	_	_	_	_	_	_
,	O	_	_	_	_	_	_	_	_
wenn	O	_	_	_	_	_	_	_	_
es	O	_	_	_	_	_	_	_	_
sich	O	_	_	_	_	_	_	_	_
schiken	O	_	_	_	_	_	_	_	_
will	O	_	_	_	_	_	_	_	_
,	O	_	_	_	_	_	_	_	_
haben	O	_	_	_	_	_	_	_	_
Erldℓ	O	_	_	_	_	_	_	_	_
da˷	O	_	_	_	_	_	_	_	_
werett	O	_	_	_	_	_	_	_	_
nach	O	_	_	_	_	_	_	_	_
eberstorf	B-LOC	_	_	_	_	_	_	_	_
Zu	O	_	_	_	_	_	_	_	_
kommen	O	_	_	_	_	_	_	_	_
,	O	_	_	_	_	_	_	_	_
bruder	O	_	_	_	_	_	_	_	_
Carel	B-PER	_	_	_	_	_	_	_	_
will	O	_	_	_	_	_	_	_	_
nicht	O	_	_	_	_	_	_	_	_
mit	O	_	_	_	_	_	_	_	_
Zu	O	_	_	_	_	_	_	_	_
friden	O	_	_	_	_	_	_	_	_
sein	O	_	_	_	_	_	_	_	_
,	O	_	_	_	_	_	_	_	_
ich	O	_	_	_	_	_	_	_	_
dechte	O	_	_	_	_	_	_	_	_
nuhn	O	_	_	_	_	_	_	_	_
es	O	_	_	_	_	_	_	_	_
wöre	O	_	_	_	_	_	_	_	_
ein	O	_	_	_	_	_	_	_	_
mahl	O	_	_	_	_	_	_	_	_
Zeit	O	_	_	_	_	_	_	_	_
Zu	O	_	_	_	_	_	_	_	_
sehen	O	_	_	_	_	_	_	_	_
wie	O	_	_	_	_	_	_	_	_
es	O	_	_	_	_	_	_	_	_
in	O	_	_	_	_	_	_	_	_
Eberstorf	B-LOC	_	_	_	_	_	_	_	_
stind	O	_	_	_	_	_	_	_	_
wöre	O	_	_	_	_	_	_	_	_
auch	O	_	_	_	_	_	_	_	_
gud	O	_	_	_	_	_	_	_	_
umb	O	_	_	_	_	_	_	_	_
Erichs	B-PER	_	_	_	_	_	_	_	_
willen	O	_	_	_	_	_	_	_	_

ich	O	_	_	_	_	_	_	_	_
hab	O	_	_	_	_	_	_	_	_
vergeßen	O	_	_	_	_	_	_	_	_
Erl	O	_	_	_	_	_	_	_	_
Zu	O	_	_	_	_	_	_	_	_
sagen	O	_	_	_	_	_	_	_	_
waß	O	_	_	_	_	_	_	_	_
mir	O	_	_	_	_	_	_	_	_
bruder	O	_	_	_	_	_	_	_	_
henrich	B-PER	_	_	_	_	_	_	_	_
gesagt	O	_	_	_	_	_	_	_	_
,	O	_	_	_	_	_	_	_	_
nehmmlich	O	_	_	_	_	_	_	_	_
er	O	_	_	_	_	_	_	_	_
habe	O	_	_	_	_	_	_	_	_
Zu	O	_	_	_	_	_	_	_	_
tresten	B-LOC	_	_	_	_	_	_	_	_
gehöret	O	_	_	_	_	_	_	_	_
,	O	_	_	_	_	_	_	_	_
der	O	_	_	_	_	_	_	_	_
könig	O	_	_	_	_	_	_	_	_
hätte	O	_	_	_	_	_	_	_	_
verbotten	O	_	_	_	_	_	_	_	_
der	O	_	_	_	_	_	_	_	_
23	O	_	_	_	_	_	_	_	_
solte	O	_	_	_	_	_	_	_	_
nicht	O	_	_	_	_	_	_	_	_
mehr	O	_	_	_	_	_	_	_	_
nach	O	_	_	_	_	_	_	_	_
sora	B-LOC	_	_	_	_	_	_	_	_
kommen	O	_	_	_	_	_	_	_	_
,	O	_	_	_	_	_	_	_	_
weil	O	_	_	_	_	_	_	_	_
er	O	_	_	_	_	_	_	_	_
alle	O	_	_	_	_	_	_	_	_
leÿde	O	_	_	_	_	_	_	_	_
dort	O	_	_	_	_	_	_	_	_
hette	O	_	_	_	_	_	_	_	_
helffe˷	O	_	_	_	_	_	_	_	_
ab	O	_	_	_	_	_	_	_	_
schaffe˷	O	_	_	_	_	_	_	_	_
ich	O	_	_	_	_	_	_	_	_
dencke	O	_	_	_	_	_	_	_	_
aber	O	_	_	_	_	_	_	_	_
es	O	_	_	_	_	_	_	_	_
ist	O	_	_	_	_	_	_	_	_
eine	O	_	_	_	_	_	_	_	_
drestner	O	_	_	_	_	_	_	_	_
lige	O	_	_	_	_	_	_	_	_
,	O	_	_	_	_	_	_	_	_

wenn	O	_	_	_	_	_	_	_	_
sie	O	_	_	_	_	_	_	_	_
an	O	_	_	_	_	_	_	_	_
die	O	_	_	_	_	_	_	_	_
lorel	B-PER	_	_	_	_	_	_	_	_
schreib˷	O	_	_	_	_	_	_	_	_
oder	O	_	_	_	_	_	_	_	_
Zu	O	_	_	_	_	_	_	_	_
ihr	O	_	_	_	_	_	_	_	_
komme˷	O	_	_	_	_	_	_	_	_
kißen	O	_	_	_	_	_	_	_	_
sie	O	_	_	_	_	_	_	_	_
mir	O	_	_	_	_	_	_	_	_
sie	O	_	_	_	_	_	_	_	_
,	O	_	_	_	_	_	_	_	_
und	O	_	_	_	_	_	_	_	_
sagen	O	_	_	_	_	_	_	_	_
ich	O	_	_	_	_	_	_	_	_
lise	O	_	_	_	_	_	_	_	_
danken	O	_	_	_	_	_	_	_	_
vor	O	_	_	_	_	_	_	_	_
die	O	_	_	_	_	_	_	_	_
melohnen	O	_	_	_	_	_	_	_	_
,	O	_	_	_	_	_	_	_	_

so	O	_	_	_	_	_	_	_	_
diser	O	_	_	_	_	_	_	_	_
bott˷	O	_	_	_	_	_	_	_	_
sie	O	_	_	_	_	_	_	_	_
etwann	O	_	_	_	_	_	_	_	_
Zu	O	_	_	_	_	_	_	_	_
gretz	B-LOC	_	_	_	_	_	_	_	_
nicht	O	_	_	_	_	_	_	_	_
an	O	_	_	_	_	_	_	_	_
drift	O	_	_	_	_	_	_	_	_
so	O	_	_	_	_	_	_	_	_
könen	O	_	_	_	_	_	_	_	_
sie	O	_	_	_	_	_	_	_	_
ihmm	O	_	_	_	_	_	_	_	_
wider	O	_	_	_	_	_	_	_	_
melohne˷	O	_	_	_	_	_	_	_	_
mit	O	_	_	_	_	_	_	_	_
geben	O	_	_	_	_	_	_	_	_
,	O	_	_	_	_	_	_	_	_

an	O	_	_	_	_	_	_	_	_
die	O	_	_	_	_	_	_	_	_
henriette	B-PER	_	_	_	_	_	_	_	_
,	I-PER	_	_	_	_	_	_	_	_
felt	I-PER	_	_	_	_	_	_	_	_
marschalli	I-PER	_	_	_	_	_	_	_	_
bitte	O	_	_	_	_	_	_	_	_
mein	O	_	_	_	_	_	_	_	_
gar	O	_	_	_	_	_	_	_	_
schönes	O	_	_	_	_	_	_	_	_
compliment	O	_	_	_	_	_	_	_	_
Zu	O	_	_	_	_	_	_	_	_
machen	O	_	_	_	_	_	_	_	_
di˷	O	_	_	_	_	_	_	_	_
lotte	B-PER	_	_	_	_	_	_	_	_
griß	O	_	_	_	_	_	_	_	_
ich	O	_	_	_	_	_	_	_	_
auch	O	_	_	_	_	_	_	_	_
denn	O	_	_	_	_	_	_	_	_
becker	B-PER	_	_	_	_	_	_	_	_
und	O	_	_	_	_	_	_	_	_
seine	O	_	_	_	_	_	_	_	_
frau	O	_	_	_	_	_	_	_	_

wegen	O	_	_	_	_	_	_	_	_
der	O	_	_	_	_	_	_	_	_
gammer	O	_	_	_	_	_	_	_	_
pfarr	O	_	_	_	_	_	_	_	_
haben	O	_	_	_	_	_	_	_	_
mir	O	_	_	_	_	_	_	_	_
Erl	O	_	_	_	_	_	_	_	_
fast	O	_	_	_	_	_	_	_	_
die	O	_	_	_	_	_	_	_	_
gedancken	O	_	_	_	_	_	_	_	_
auf	O	_	_	_	_	_	_	_	_
H	B-PER	_	_	_	_	_	_	_	_
roßlern	I-PER	_	_	_	_	_	_	_	_
vo˷	O	_	_	_	_	_	_	_	_
Coburg	B-LOC	_	_	_	_	_	_	_	_
benommen	O	_	_	_	_	_	_	_	_
,	O	_	_	_	_	_	_	_	_
da	O	_	_	_	_	_	_	_	_
sie	O	_	_	_	_	_	_	_	_
mir	O	_	_	_	_	_	_	_	_
melten	O	_	_	_	_	_	_	_	_
daß	O	_	_	_	_	_	_	_	_
er	O	_	_	_	_	_	_	_	_
schon	O	_	_	_	_	_	_	_	_
2	O	_	_	_	_	_	_	_	_
vocationes	O	_	_	_	_	_	_	_	_
hätte	O	_	_	_	_	_	_	_	_
,	O	_	_	_	_	_	_	_	_
und	O	_	_	_	_	_	_	_	_
