TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
Fürsten	O	_	_	_	_	_	_	_	_
schuldig	O	_	_	_	_	_	_	_	_
sein	O	_	_	_	_	_	_	_	_
zugeben	O	_	_	_	_	_	_	_	_
den	O	_	_	_	_	_	_	_	_
halben	O	_	_	_	_	_	_	_	_
tayl	O	_	_	_	_	_	_	_	_
/	O	_	_	_	_	_	_	_	_
von	O	_	_	_	_	_	_	_	_
allen	O	_	_	_	_	_	_	_	_
den	O	_	_	_	_	_	_	_	_
gütern	O	_	_	_	_	_	_	_	_
oder	O	_	_	_	_	_	_	_	_
kauffmanschafft	O	_	_	_	_	_	_	_	_
/	O	_	_	_	_	_	_	_	_
so	O	_	_	_	_	_	_	_	_
er	O	_	_	_	_	_	_	_	_
bringt	O	_	_	_	_	_	_	_	_
von	O	_	_	_	_	_	_	_	_
den	O	_	_	_	_	_	_	_	_
orten	O	_	_	_	_	_	_	_	_
/	O	_	_	_	_	_	_	_	_

Vnd	O	_	_	_	_	_	_	_	_
sunnderlich	O	_	_	_	_	_	_	_	_
Gayßfleysch	O	_	_	_	_	_	_	_	_
haben	O	_	_	_	_	_	_	_	_
sie	O	_	_	_	_	_	_	_	_
genug	O	_	_	_	_	_	_	_	_
/	O	_	_	_	_	_	_	_	_

Jn	O	_	_	_	_	_	_	_	_
disen	O	_	_	_	_	_	_	_	_
Jnseln	O	_	_	_	_	_	_	_	_
findt	O	_	_	_	_	_	_	_	_
man	O	_	_	_	_	_	_	_	_
vil	O	_	_	_	_	_	_	_	_
wilder	O	_	_	_	_	_	_	_	_
Esel	O	_	_	_	_	_	_	_	_
/	O	_	_	_	_	_	_	_	_
sunderlich	O	_	_	_	_	_	_	_	_
in	O	_	_	_	_	_	_	_	_
der	O	_	_	_	_	_	_	_	_
jnseln	B-LOC	_	_	_	_	_	_	_	_
Ferro	I-LOC	_	_	_	_	_	_	_	_
/	O	_	_	_	_	_	_	_	_

Vnd	O	_	_	_	_	_	_	_	_
von	O	_	_	_	_	_	_	_	_
so	O	_	_	_	_	_	_	_	_
einer	O	_	_	_	_	_	_	_	_
hohen	O	_	_	_	_	_	_	_	_
jnseln	O	_	_	_	_	_	_	_	_
/	O	_	_	_	_	_	_	_	_
als	O	_	_	_	_	_	_	_	_
man	O	_	_	_	_	_	_	_	_
sie	O	_	_	_	_	_	_	_	_
in	O	_	_	_	_	_	_	_	_
der	O	_	_	_	_	_	_	_	_
welt	B-LOC	_	_	_	_	_	_	_	_
mag	O	_	_	_	_	_	_	_	_
finden	O	_	_	_	_	_	_	_	_
/	O	_	_	_	_	_	_	_	_

Welche	O	_	_	_	_	_	_	_	_
Jnsel	O	_	_	_	_	_	_	_	_
hat	O	_	_	_	_	_	_	_	_
kein	O	_	_	_	_	_	_	_	_
gemawert	O	_	_	_	_	_	_	_	_
orte	O	_	_	_	_	_	_	_	_
/	O	_	_	_	_	_	_	_	_
sunder	O	_	_	_	_	_	_	_	_
allein	O	_	_	_	_	_	_	_	_
hat	O	_	_	_	_	_	_	_	_
es	O	_	_	_	_	_	_	_	_
dörffer	O	_	_	_	_	_	_	_	_
/	O	_	_	_	_	_	_	_	_
aber	O	_	_	_	_	_	_	_	_
sie	O	_	_	_	_	_	_	_	_
haben	O	_	_	_	_	_	_	_	_
jre	O	_	_	_	_	_	_	_	_
wonung	O	_	_	_	_	_	_	_	_
in	O	_	_	_	_	_	_	_	_
den	O	_	_	_	_	_	_	_	_
gebiergen	O	_	_	_	_	_	_	_	_
/	O	_	_	_	_	_	_	_	_
die	O	_	_	_	_	_	_	_	_
do	O	_	_	_	_	_	_	_	_
vast	O	_	_	_	_	_	_	_	_
groß	O	_	_	_	_	_	_	_	_
vnd	O	_	_	_	_	_	_	_	_
hoch	O	_	_	_	_	_	_	_	_
sein	O	_	_	_	_	_	_	_	_
/	O	_	_	_	_	_	_	_	_

Vnd	O	_	_	_	_	_	_	_	_
darnach	O	_	_	_	_	_	_	_	_
ist	O	_	_	_	_	_	_	_	_
der	O	_	_	_	_	_	_	_	_
selbige	O	_	_	_	_	_	_	_	_
Furste	O	_	_	_	_	_	_	_	_
/	O	_	_	_	_	_	_	_	_
schuldig	O	_	_	_	_	_	_	_	_
zuthun	O	_	_	_	_	_	_	_	_
Eer	O	_	_	_	_	_	_	_	_
vd	O	_	_	_	_	_	_	_	_
früntschafft	O	_	_	_	_	_	_	_	_
seynen	O	_	_	_	_	_	_	_	_
fründen	O	_	_	_	_	_	_	_	_
/	O	_	_	_	_	_	_	_	_
des	O	_	_	_	_	_	_	_	_
todten	O	_	_	_	_	_	_	_	_
/	O	_	_	_	_	_	_	_	_
wie	O	_	_	_	_	_	_	_	_
ditz	O	_	_	_	_	_	_	_	_
ein	O	_	_	_	_	_	_	_	_
vast	O	_	_	_	_	_	_	_	_
böse	O	_	_	_	_	_	_	_	_
gewonheyt	O	_	_	_	_	_	_	_	_
ist	O	_	_	_	_	_	_	_	_
/	O	_	_	_	_	_	_	_	_
vnd	O	_	_	_	_	_	_	_	_
viehisch	O	_	_	_	_	_	_	_	_
vnd	O	_	_	_	_	_	_	_	_
vnuernüfftig	O	_	_	_	_	_	_	_	_
ist	O	_	_	_	_	_	_	_	_
/	O	_	_	_	_	_	_	_	_

Auch	O	_	_	_	_	_	_	_	_
werffen	O	_	_	_	_	_	_	_	_
sie	O	_	_	_	_	_	_	_	_
grosse	O	_	_	_	_	_	_	_	_
steyne	O	_	_	_	_	_	_	_	_
krefftiglich	O	_	_	_	_	_	_	_	_
/	O	_	_	_	_	_	_	_	_
vnd	O	_	_	_	_	_	_	_	_
werffen	O	_	_	_	_	_	_	_	_
wo	O	_	_	_	_	_	_	_	_
hin	O	_	_	_	_	_	_	_	_
sie	O	_	_	_	_	_	_	_	_
wöllen	O	_	_	_	_	_	_	_	_
/	O	_	_	_	_	_	_	_	_

Hyrsche	O	_	_	_	_	_	_	_	_
/	O	_	_	_	_	_	_	_	_
vnd	O	_	_	_	_	_	_	_	_
andern	O	_	_	_	_	_	_	_	_
gemweßen	O	_	_	_	_	_	_	_	_
/	O	_	_	_	_	_	_	_	_
sein	O	_	_	_	_	_	_	_	_
lewt	O	_	_	_	_	_	_	_	_
weniger	O	_	_	_	_	_	_	_	_
speiße	O	_	_	_	_	_	_	_	_
Also	O	_	_	_	_	_	_	_	_
/	O	_	_	_	_	_	_	_	_
das	O	_	_	_	_	_	_	_	_
man	O	_	_	_	_	_	_	_	_
eynen	O	_	_	_	_	_	_	_	_
eyn	O	_	_	_	_	_	_	_	_
gantzen	O	_	_	_	_	_	_	_	_
tag	O	_	_	_	_	_	_	_	_
frysch	O	_	_	_	_	_	_	_	_
mag	O	_	_	_	_	_	_	_	_
halten	O	_	_	_	_	_	_	_	_
vnd	O	_	_	_	_	_	_	_	_
gehaben	O	_	_	_	_	_	_	_	_
mit	O	_	_	_	_	_	_	_	_
einē	O	_	_	_	_	_	_	_	_
schüsselen	O	_	_	_	_	_	_	_	_
vol	O	_	_	_	_	_	_	_	_
gersten	O	_	_	_	_	_	_	_	_
mweslen	O	_	_	_	_	_	_	_	_
.	O	_	_	_	_	_	_	_	_

Sie	O	_	_	_	_	_	_	_	_
haben	O	_	_	_	_	_	_	_	_
vnther	O	_	_	_	_	_	_	_	_
jnen	O	_	_	_	_	_	_	_	_
keinen	O	_	_	_	_	_	_	_	_
Fürsten	O	_	_	_	_	_	_	_	_
dan̄	O	_	_	_	_	_	_	_	_
welcher	O	_	_	_	_	_	_	_	_
vnther	O	_	_	_	_	_	_	_	_
jnen	O	_	_	_	_	_	_	_	_
ist	O	_	_	_	_	_	_	_	_
reiche	O	_	_	_	_	_	_	_	_
/	O	_	_	_	_	_	_	_	_
der	O	_	_	_	_	_	_	_	_
ist	O	_	_	_	_	_	_	_	_
etwas	O	_	_	_	_	_	_	_	_
mer	O	_	_	_	_	_	_	_	_
gehalten	O	_	_	_	_	_	_	_	_
vn̄	O	_	_	_	_	_	_	_	_
geeret	O	_	_	_	_	_	_	_	_
/	O	_	_	_	_	_	_	_	_
vnd	O	_	_	_	_	_	_	_	_
herschendt	O	_	_	_	_	_	_	_	_
vber	O	_	_	_	_	_	_	_	_
die	O	_	_	_	_	_	_	_	_
andern	O	_	_	_	_	_	_	_	_
/	O	_	_	_	_	_	_	_	_

vn̄	O	_	_	_	_	_	_	_	_
ist	O	_	_	_	_	_	_	_	_
die	O	_	_	_	_	_	_	_	_
gemain	O	_	_	_	_	_	_	_	_
arm	O	_	_	_	_	_	_	_	_
volcke	O	_	_	_	_	_	_	_	_
/	O	_	_	_	_	_	_	_	_
vnd	O	_	_	_	_	_	_	_	_
sein	O	_	_	_	_	_	_	_	_
grosse	O	_	_	_	_	_	_	_	_
dyeb	O	_	_	_	_	_	_	_	_
vnd	O	_	_	_	_	_	_	_	_
lügener	O	_	_	_	_	_	_	_	_
/	O	_	_	_	_	_	_	_	_
vnd	O	_	_	_	_	_	_	_	_
so	O	_	_	_	_	_	_	_	_
groß	O	_	_	_	_	_	_	_	_
verreter	O	_	_	_	_	_	_	_	_
als	O	_	_	_	_	_	_	_	_
man	O	_	_	_	_	_	_	_	_
in	O	_	_	_	_	_	_	_	_
der	O	_	_	_	_	_	_	_	_
welt	B-LOC	_	_	_	_	_	_	_	_
mag	O	_	_	_	_	_	_	_	_
fin	O	_	_	_	_	_	_	_	_
den	O	_	_	_	_	_	_	_	_
/	O	_	_	_	_	_	_	_	_

vnd	O	_	_	_	_	_	_	_	_
sein	O	_	_	_	_	_	_	_	_
menschē	O	_	_	_	_	_	_	_	_
einer	O	_	_	_	_	_	_	_	_
gemeinen	O	_	_	_	_	_	_	_	_
grösse	O	_	_	_	_	_	_	_	_
sein	O	_	_	_	_	_	_	_	_
mager	O	_	_	_	_	_	_	_	_
/	O	_	_	_	_	_	_	_	_
vnd	O	_	_	_	_	_	_	_	_
haben	O	_	_	_	_	_	_	_	_
ein	O	_	_	_	_	_	_	_	_
lang	O	_	_	_	_	_	_	_	_
krawß	O	_	_	_	_	_	_	_	_
hare	O	_	_	_	_	_	_	_	_
gleich	O	_	_	_	_	_	_	_	_
wie	O	_	_	_	_	_	_	_	_
die	O	_	_	_	_	_	_	_	_
dewtschen	O	_	_	_	_	_	_	_	_
/	O	_	_	_	_	_	_	_	_
ist	O	_	_	_	_	_	_	_	_
aber	O	_	_	_	_	_	_	_	_
schwartz	O	_	_	_	_	_	_	_	_
/	O	_	_	_	_	_	_	_	_
vnd	O	_	_	_	_	_	_	_	_
schmyeren	O	_	_	_	_	_	_	_	_
alle	O	_	_	_	_	_	_	_	_
tag	O	_	_	_	_	_	_	_	_
jre	O	_	_	_	_	_	_	_	_
hare	O	_	_	_	_	_	_	_	_
mith	O	_	_	_	_	_	_	_	_
vischschmaltze	O	_	_	_	_	_	_	_	_
/	O	_	_	_	_	_	_	_	_
vnd	O	_	_	_	_	_	_	_	_
stincket	O	_	_	_	_	_	_	_	_
vast	O	_	_	_	_	_	_	_	_
vbel	O	_	_	_	_	_	_	_	_
/	O	_	_	_	_	_	_	_	_
das	O	_	_	_	_	_	_	_	_
haltē	O	_	_	_	_	_	_	_	_
sie	O	_	_	_	_	_	_	_	_
dan̄	O	_	_	_	_	_	_	_	_
vor	O	_	_	_	_	_	_	_	_
einen	O	_	_	_	_	_	_	_	_
grossen	O	_	_	_	_	_	_	_	_
wolstandt	O	_	_	_	_	_	_	_	_
.	O	_	_	_	_	_	_	_	_

Vnd	O	_	_	_	_	_	_	_	_
wie	O	_	_	_	_	_	_	_	_
die	O	_	_	_	_	_	_	_	_
von	O	_	_	_	_	_	_	_	_
Zenagi	B-LOC	_	_	_	_	_	_	_	_
die	O	_	_	_	_	_	_	_	_
ersten	O	_	_	_	_	_	_	_	_
schieffe	O	_	_	_	_	_	_	_	_
so	O	_	_	_	_	_	_	_	_
sie	O	_	_	_	_	_	_	_	_
sahen	O	_	_	_	_	_	_	_	_
/	O	_	_	_	_	_	_	_	_
meinthen	O	_	_	_	_	_	_	_	_
es	O	_	_	_	_	_	_	_	_
weren	O	_	_	_	_	_	_	_	_
vögel	O	_	_	_	_	_	_	_	_
ader	O	_	_	_	_	_	_	_	_
thie	O	_	_	_	_	_	_	_	_
re	O	_	_	_	_	_	_	_	_
vō	O	_	_	_	_	_	_	_	_
Tagaza	B-LOC	_	_	_	_	_	_	_	_
/	O	_	_	_	_	_	_	_	_
do	O	_	_	_	_	_	_	_	_
mā	O	_	_	_	_	_	_	_	_
saltz	O	_	_	_	_	_	_	_	_
auf	O	_	_	_	_	_	_	_	_
lette	O	_	_	_	_	_	_	_	_
ader	O	_	_	_	_	_	_	_	_
vaste	O	_	_	_	_	_	_	_	_
vnd	O	_	_	_	_	_	_	_	_
vō	O	_	_	_	_	_	_	_	_
dem	O	_	_	_	_	_	_	_	_
reich	B-LOC	_	_	_	_	_	_	_	_
Melli	I-LOC	_	_	_	_	_	_	_	_
/	O	_	_	_	_	_	_	_	_
mit	O	_	_	_	_	_	_	_	_
seiner	O	_	_	_	_	_	_	_	_
weittorft	O	_	_	_	_	_	_	_	_
Vnd	O	_	_	_	_	_	_	_	_
von	O	_	_	_	_	_	_	_	_
lewthen	O	_	_	_	_	_	_	_	_
die	O	_	_	_	_	_	_	_	_
do	O	_	_	_	_	_	_	_	_
wonen	O	_	_	_	_	_	_	_	_
vnter	O	_	_	_	_	_	_	_	_
dem	O	_	_	_	_	_	_	_	_
circkel	B-LOC	_	_	_	_	_	_	_	_
Equinoctiali	I-LOC	_	_	_	_	_	_	_	_
die	O	_	_	_	_	_	_	_	_
treiben	O	_	_	_	_	_	_	_	_
kaufmāschaft	O	_	_	_	_	_	_	_	_
mit	O	_	_	_	_	_	_	_	_
saltze	O	_	_	_	_	_	_	_	_
/	O	_	_	_	_	_	_	_	_
also	O	_	_	_	_	_	_	_	_
das	O	_	_	_	_	_	_	_	_
sie	O	_	_	_	_	_	_	_	_
nicht	O	_	_	_	_	_	_	_	_
sehen	O	_	_	_	_	_	_	_	_
/	O	_	_	_	_	_	_	_	_
noch	O	_	_	_	_	_	_	_	_
redē	O	_	_	_	_	_	_	_	_
mit	O	_	_	_	_	_	_	_	_
denē	O	_	_	_	_	_	_	_	_
so	O	_	_	_	_	_	_	_	_
sie	O	_	_	_	_	_	_	_	_
mit	O	_	_	_	_	_	_	_	_
kaufschlagē	O	_	_	_	_	_	_	_	_
/	O	_	_	_	_	_	_	_	_
ader	O	_	_	_	_	_	_	_	_
handeln	O	_	_	_	_	_	_	_	_
.	O	_	_	_	_	_	_	_	_

Vnd	O	_	_	_	_	_	_	_	_
auch	O	_	_	_	_	_	_	_	_
etliche	O	_	_	_	_	_	_	_	_
auß	O	_	_	_	_	_	_	_	_
denen	O	_	_	_	_	_	_	_	_
lewthen	O	_	_	_	_	_	_	_	_
sprachen	O	_	_	_	_	_	_	_	_
/	O	_	_	_	_	_	_	_	_
die	O	_	_	_	_	_	_	_	_
schieffe	O	_	_	_	_	_	_	_	_
weren	O	_	_	_	_	_	_	_	_
fantasmata	O	_	_	_	_	_	_	_	_
ader	O	_	_	_	_	_	_	_	_
trwgnuß	O	_	_	_	_	_	_	_	_
die	O	_	_	_	_	_	_	_	_
bey	O	_	_	_	_	_	_	_	_
der	O	_	_	_	_	_	_	_	_
nacht	O	_	_	_	_	_	_	_	_
gesehen	O	_	_	_	_	_	_	_	_
weren	O	_	_	_	_	_	_	_	_
vn	O	_	_	_	_	_	_	_	_
hetten	O	_	_	_	_	_	_	_	_
grosse	O	_	_	_	_	_	_	_	_
vorcht	O	_	_	_	_	_	_	_	_
darumb	O	_	_	_	_	_	_	_	_
das	O	_	_	_	_	_	_	_	_
sie	O	_	_	_	_	_	_	_	_
vor	O	_	_	_	_	_	_	_	_
nye	O	_	_	_	_	_	_	_	_
sulche	O	_	_	_	_	_	_	_	_
schieff	O	_	_	_	_	_	_	_	_
gesehen	O	_	_	_	_	_	_	_	_
hetten	O	_	_	_	_	_	_	_	_
.	O	_	_	_	_	_	_	_	_

Vnd	O	_	_	_	_	_	_	_	_
farē	O	_	_	_	_	_	_	_	_
dan̄	O	_	_	_	_	_	_	_	_
durch	O	_	_	_	_	_	_	_	_
